area_wk;tarefa_WK;descritivo;analista;data_aloc;inicio_wk;fim_wk;comp_est;comp_real;tempo_est_h;prazo_est;prazo_real;crit_aloc;resum_exec;data_envio;data_aval;retorno;status;xp_creditada;score_ahp_escolhido;aprendizado_norm_escolhido;especializacao_norm_escolhido;workload_norm_escolhido;contrib_aprendizagem_escolhido;contrib_especializacao_escolhido;contrib_workload_escolhido
Contratos;Contrato de Locação;;Abraão;2026-01-02 09:10:00;2026-01-05 11:00:59.999999999;2026-01-06 11:01:00.000000000;3,0;;8,0;2026-01-06 11:01:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,9610563883800511;1,0;1,0;0,7506520605133833;0,6586441863669917;0,1851740071976712;0,11723819481538819
Direito financeiro;Apoio jurídico a emissões de valores mobiliários;;Caim;2026-01-02 09:11:00;2026-01-02 11:02:59.999999999;2026-01-02 13:02:59.999999999;1,0;;2,0;2026-01-02 13:02:59.999999999;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;1,0;1,0;1,0;1,0;0,6586441863669917;0,1851740071976712;0,1561818064353371
Governança;Preparação de reuniões, materiais, pautas e apreentações;;Esaú;2026-01-02 09:12:00;2026-01-02 11:04:59.999999999;2026-01-02 13:04:59.999999999;1,0;;2,0;2026-01-02 13:04:59.999999999;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;1,0;1,0;1,0;1,0;0,6586441863669917;0,1851740071976712;0,1561818064353371
Contratos;Contrato de Joint Venture;;Abraão;2026-01-02 09:13:00;2026-01-06 11:01:00.000000000;2026-01-09 11:00:59.999999999;5,0;;24,0;2026-01-09 11:00:59.999999999;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,927028389328047;1,0;1,0;0,532777777787037;0,6586441863669917;0,1851740071976712;0,08321019576338406
Contratos;Contrato de Transferência de Tecnologia;;Isaque;2026-01-02 09:14:00;2026-01-07 09:07:00.000000000;2026-01-08 09:06:59.999999999;3,0;;8,0;2026-01-08 09:06:59.999999999;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,9173557911590415;1,0;1,0;0,47084612012619353;0,6586441863669917;0,1851740071976712;0,07353759759437864
Contratos;Contrato de Representação Comercial;;Abel;2026-01-05 09:00:00;2026-01-05 09:00:00.000000000;2026-01-05 17:00:00.000000000;3,0;;8,0;2026-01-05 17:00:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;1,0;1,0;1,0;1,0;0,6586441863669917;0,1851740071976712;0,1561818064353371
Concorrencial;Revisão concorrencial de documentos;;Caim;2026-01-05 09:01:00;2026-01-05 09:01:00.000000000;2026-01-06 09:00:59.999999999;3,0;;8,0;2026-01-06 09:00:59.999999999;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;1,0;1,0;1,0;1,0;0,6586441863669917;0,1851740071976712;0,1561818064353371
Direito digital;Avaliação jurídica de campanhas de marketing digital;;Esaú;2026-01-05 09:02:00;2026-01-05 09:02:00.000000000;2026-01-05 11:02:00.000000000;1,0;;2,0;2026-01-05 11:02:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;1,0;1,0;1,0;1,0;0,6586441863669917;0,1851740071976712;0,1561818064353371
Contencioso;Estratégia processual;;Adão;2026-01-05 09:03:00;2026-01-05 11:02:00.000000000;2026-01-05 13:02:00.000000000;1,0;;2,0;2026-01-05 13:02:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;1,0;1,0;1,0;1,0;0,6586441863669917;0,1851740071976712;0,1561818064353371
Contratos;Contrato de Agência, Franquia ou Parceria Empresarial;;Abraão;2026-01-05 09:04:00;2026-01-09 11:00:59.999999999;2026-01-12 11:01:00.000000000;3,0;;8,0;2026-01-12 11:01:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,8438181935646629;1,0;1,0;0,0;0,6586441863669917;0,1851740071976712;0,0
